Month,Campaign,Type,Programs,Contacts
Jan,Previous Cohort Applicants Nudge PW_C1 Jan 15.xlsx,Application Nudge,Pathway,900
Jan,_Previous Cohort Applicants Nudge PW_C1 Jan 21.xlsx,Application Nudge,Pathway,2600
Jan,"_Applicatoin Nudge  DA,DS,AWS Jan 1.xlsx",Application Nudge,AWS,619
Jan,"_Applicants Nudge DA C7, DS C4, SF C8 ,BE C6, FE C6, AWS C8 ,PF C8 ,VA C8 ,AICE C8 ,PW C2, Jan 28.xlsx",Application Nudge,"AiCE, Pathway, Virtual Assistant, AWS, Data Analytics, Data Science, Front-End, Back-End, Software Engineering",1490
Jan,"Applicants Nudge PW C2, Jan 29.xlsx",Application Nudge,Pathway,895
Jan,Previous Cohort Applicants Nudge PW_C1 Jan 14.xlsx,Application Nudge,Pathway,250
Jan,Previous Not Reached calls Jan 31.xlsx,Retry/Not Reached,General,340
Jan,Pathway Applicatoin Nudge Jan 3.xlsx,Application Nudge,Pathway,732
Jan,Pathway C1 Week 9 Assignment Submission Call Reachout Jan 14.xlsx,Assignment Follow-up,Pathway,236
Jan,"_Applicatoin Nudge  DA,,BE,FE SEJan 1.xlsx",Application Nudge,Front-End,1164
Jan,Pathway Info sesssion event reminder Jan 23.xlsx,Event Invitation,Pathway,87
Jan,AWS C6_ Cloud Practioner Learners List Jan 14.xlsx,Other,AWS,43
Jan,"_Applicants Nudge DA C7, DS C4, SF C8 ,BE C6, FE C6, AWS C8 ,PF C8 ,VA C8 ,AICE C8 ,PW C2, Jan 28 (1).xlsx",Application Nudge,"AiCE, Pathway, Virtual Assistant, AWS, Data Analytics, Data Science, Front-End, Back-End, Software Engineering",1490
Jan,_Previous Cohort Applicants Nudge PW_C1 Jan 23.xlsx,Application Nudge,Pathway,3399
Jan,Previous Cohort Applicants Nudge AICE C8 Jan 2.xlsx,Application Nudge,AiCE,600
Jan,Pathway Info session RSVP - Jan 30 .xlsx,Event Invitation,Pathway,175
Jan,AWS C4 Solution Architect Learners List Jan 14.xlsx,Other,AWS,27
Jan,Previous Cohort Applicants Nudge PW_C1 Jan 20.xlsx,Application Nudge,Pathway,2000
Jan,"Applicants Nudge PW C2, Jan 31.xlsx",Application Nudge,Pathway,244
Jan,Previous Cohort Applicants Nudge PW_C1 Jan 16.xlsx,Application Nudge,Pathway,1400
Jan,_Previous Cohort Applicants Nudge PW_C1 Jan 22.xlsx,Application Nudge,Pathway,3200
February,Pilot 2 - Reachout (Round 2).xlsx,Other,General,956
February,Back-end Previous Cohort 2 & 3 Feb 5.xlsx,Other,Back-End,419
February,PW cohort - 2 Applicants Nudge  Feb 18.xlsx,Application Nudge,Pathway,1466
February,_PW C2_Feb 12.xlsx,Other,Pathway,2116
February,PW C2_Feb 13.xlsx,Other,Pathway,1466
February,PW C2 - Feb 26.xlsx,Other,Pathway,4242
February,PW Application Nudge List.xlsx,Application Nudge,Pathway,3252
February,Info session RSVP'd Feb 5.xlsx,Event Invitation,General,90
February,PW C2 - Feb 27.xlsx,Other,Pathway,4242
February,Techlite Payment Nudge feb 19.xlsx,Payment Nudge,Techlite,928
